US8228:1299277300088258239:Andy.C.James:882991  :01312018:branch1.dat
US8228:1200299938882456789:Shakar.C.Divini:2211426  :01312018:branch1.dat
US8228:2990388872334456789:Joe.M.Baker:88234  :01312018:branch1.dat
US8228:1222945530092276611:George.Williams:88109  :01312018:branch1.dat
US8228:1234066820199822389:Larry.C.Guy:882  :01312018:branch1.dat
US8228:1247783490123436021:Lacy.C.Cocaran:9921556  :01312018:branch1.dat
US8228:1998233490123426401:Herman.G.Munster:55324  :01312018:branch1.dat
US8228:1235583290123402173:LaQuita.H.Dabney:882371  :01312018:branch1.dat
US7227:1234567890123456789:Randal.K.Michael:9825  :01312018:branch2.dat
US7227:1239922890123456789:James.M.Jones:1426  :01312018:branch2.dat
US7227:1528857890123456789:William.C.Rogers:427732  :01312018:branch2.dat
US7227:1222945530123456789:Robin.M.Kim:2263320  :01312018:branch2.dat
US7227:1234066820123456789:Ana.Marie.Larson:4741  :01312018:branch2.dat
US7227:1247783490123456789:Stacy.M.Spry:8847  :01312018:branch2.dat
US7227:1998233490123456789:Marcus.S.Moore:95248  :01312018:branch2.dat
US7227:1235583290123456789:Paul.W.Bryant:886799  :01312018:branch2.dat
